  DM0h  [ui8 ]  (bytes 03)
  DM0r  [ui8 ]  0 (bytes 00)
  DM0w  [ui8 ]  0 (bytes 00)
  DMP!  [hex_]  (bytes 00)
  DMS!  [hex_]  (bytes 00)
  DPB0  [ui8 ]  (bytes 11)
  DPB1  [ui8 ]  (bytes 04)
  DPBR  [ui16]  304 (bytes 01 30)
  DPLM  [{lim]  (bytes 00 00 00 00 00)
  DSAS  [flag]  (bytes 00)
  DT0A  [sp78]  114.000 (bytes 72 00)
  DT0B  [sp78]  89.000 (bytes 59 00)
  DT0C  [sp78]  84.000 (bytes 54 00)
  DT0a  [sp78]  14.000 (bytes 0e 00)
  DT0b  [sp78]  0.000 (bytes 00 00)
  DT0c  [sp78]  3.000 (bytes 03 00)
  DULI  [ui8 ]  0 (bytes 00)
  DULT  [ui8 ]  70 (bytes 46)
  DURR  [ui8 ]  4 (bytes 04)
  DUSR  [ui8 ]  0 (bytes 00)
  DUST  [ui8 ]  0 (bytes 00)
  DUTC  [flag]  (bytes 00)
  DUTI  [ui8 ]  0 (bytes 00)
  DUTT  [ui8 ]  45 (bytes 2d)
  ECIP  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  ECIT  [ui8 ]  0 (bytes 00)
  EECC  [ui32]  0 (bytes 00 00 00 00)
  EECT  [ui32]  4294967295 (bytes ff ff ff ff)
  ENV0  [ui8 ]  3 (bytes 03)
  EPCA  [ui32]  45056 (bytes 00 00 b0 00)
  EPCF  [flag]  (bytes 01)
  EPCI  [ui32]  135327744 (bytes 08 10 f0 00)
  EPCV  [ui16]  1 (bytes 00 01)
  EPMA  [ch8*]  (bytes 00 00 a8 10)
  EPMI  [ui8 ]  0 (bytes 00)
  EPUA  [ui32]  43008 (bytes 00 00 a8 00)
  EPUF  [flag]  (bytes 01)
  EPUI  [ui32]  135266305 (bytes 08 10 00 01)
  EPUV  [ui16]  1 (bytes 00 01)
  ERCE  [flag]  (bytes 00)
  ERCR  [ui16]  10 (bytes 00 0a)
  ERCS  [flag]  (bytes 00)
  EVCT  [hex_]  (bytes 0b 0b)
  EVHF  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  EVMD  [ui32]  0 (bytes 00 00 00 00)
  EVRD  [ch8*]  (bytes f6 06 04 00 00 40 b9 72 71 05 16 00 02 40 c2 f9 63 10 d8 04 ff c0 b9 72 1e 11 10 03 d8 c0 b9 72)
  EVSL  [ui8 ]  0 (bytes 00)
  F0Ac  [fpe2]  1293.00 (bytes 14 34)
  F0ID  [{fds]  (bytes 00 00 0e 00 52 69 67 68 74 20 53 69 64 65 20 20)
  F0Mn  [fpe2]  1299.00 (bytes 14 4c)
  F0Mt  [ui16]  0 (bytes 00 00)
  F0Mx  [fpe2]  6199.00 (bytes 60 dc)
  F0Tg  [fpe2]  1299.00 (bytes 14 4c)
  FNum  [ui8 ]  1 (bytes 01)
  FOFC  [ui32]  2 (bytes 00 00 00 02)
  FOf0  [sp78]  18.000 (bytes 12 00)
  FOf1  [sp78]  8.000 (bytes 08 00)
  FOf2  [sp78]  6.000 (bytes 06 00)
  FOf3  [sp78]  0.000 (bytes 00 00)
  FOf4  [sp78]  0.000 (bytes 00 00)
  FOf5  [sp78]  8.000 (bytes 08 00)
  FOff  [ui8 ]  1 (bytes 01)
  FOn0  [sp78]  5.000 (bytes 05 00)
  FOn1  [sp78]  6.000 (bytes 06 00)
  FOn2  [sp78]  4.000 (bytes 04 00)
  FOn3  [sp78]  0.000 (bytes 00 00)
  FPDc  [fp79]  14.4531 (bytes 1c e8)
  FRmn  [ui16]  0 (bytes 00 00)
  FRmp  [ui16]  0 (bytes 00 00)
  FS!   [ui16]  0 (bytes 00 00)
  FSDc  [ui16]  26880 (bytes 69 00)
  G3AO  [ui32]  0 (bytes 00 00 00 00)
  G3WD  [flag]  (bytes 00)
  Gb0i  [flt ]  (bytes cd cc 4c 3e)
  Gb0m  [flt ]  (bytes 00 00 70 42)
  Gb0p  [flt ]  (bytes 66 66 86 3f)
  Gb0q  [si16]  512 (bytes 02 00)
